Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,BGD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,6.257481579,0.022223496,5.164059022,-8.743224624,7.931704957,6.296188834,14.79196345,-5.769584381,11.8277158,0.510309049,2.963254932,4.402019652,61.40578328,44.5427169,80.5697564,-17.63041929,-3.210155929,25.61888559,12.56450599,17.55506709,9.894690312,9.855812463,8.487755878,7.875566349,18.4951157,8.254404894,11.11963117,7.495835297,8.33797325,6.532735292,2.729531996,2.582161899,0.155518173,3.966216316,7.144938703,19.14321311,3.800232201,4.736212562,3.781037737,3.44665935,3.261160132,3.892867435,5.815816648,4.56213638,4.586360705,5.875935815,6.471260103,7.860966092,6.764354686,7.144663025,7.859450855,8.164573678,7.174953427,5.668788528,5.87277704,6.72785241,6.278692845,5.597397181,4.458951253,5.510281384
Bulgaria,BGR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,2.820938368,1.916472804,-0.645271728,2.736748496,0.229177129,1.345489614,0.0638388,-5.389743836,6.729684134,26.18800066,226.5378598,59.57864944,51.09105375,72.70496847,135.9717891,63.0693806,914.1260514,33.31371663,3.189501627,7.181202287,6.124344019,3.768886511,2.272325531,5.649571384,6.497564076,6.756898399,11.08352259,8.131471791,4.048805756,1.145840251,5.941996946,1.527228466,-0.668632343,0.460887325,2.442392477,2.537512297,3.94290703,4.012248585,5.250219041,3.316993904
Bahrain,BHR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,18.91176506,13.72399415,-3.689967158,-0.418480068,-1.824994526,-17.39265031,0.659048471,2.009427703,3.974660365,4.826695567,-1.882524863,-3.532652291,-3.025814742,7.331189486,1.090668488,0.196721929,0.931715111,-7.057410565,2.656433743,29.99127655,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36509192,-12.99394121,7.441125966,9.736753496,3.014765852,0.384140011,-1.670883004,-9.255156915,0.247278734,5.51968542,4.346019188,0.189690628,-4.6860335
"Bahamas, The",BHS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.160601259,1.089632544,1.343764187,1.50530105,2.011727721,3.771318548,4.713072544,5.163480795,8.925372793,6.145345673,4.582551579,6.786658895,5.55102348,13.23270697,10.65637827,2.38966527,1.728703028,2.247883785,8.554096535,10.00686562,17.68832771,3.69500754,5.976967024,3.171435469,8.460727143,4.660387029,6.586347651,1.484310644,1.813171336,5.073711046,2.556539629,3.905565083,-0.851983447,2.183366927,0.802435284,0.98424358,64.17218655,12.99852931,0.223912945,0.921917928,0.353982112,3.960763092,1.154479107,1.194630016,5.056845759,0.827937103,2.947322454,1.488464357,-1.035990447,-0.392294309,-0.858815623,3.267480599,1.294892316,4.04290935,5.150214486,0.409024834,1.549201469,1.192287471,3.020381826,-1.042166527
Bosnia and Herzegovina,BIH,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84743319,-17.05676337,13.01148218,-1.581925361,8.35572908,28.78778446,2.963818047,4.459657972,0.912491306,8.442109766,-2.75755262,7.800126602,6.195571787,7.337370942,0.185463343,1.406297201,2.432526293,0.795774116,-0.224122764,1.000338327,1.365729598,1.406959224,1.696363055,2.747630824,2.631140343,0.616962457
Belarus,BLR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3767051,1030.776812,1058.714497,1945.748606,661.5040768,53.71432731,71.64957481,76.58044633,316.7934351,185.2907607,79.53457254,44.89373887,30.6853215,22.67512245,18.9721606,10.74861564,12.87270229,21.21353617,9.258661838,11.29047473,71.03882161,75.27736917,21.25729561,18.10515612,16.02249378,8.34191705,8.623147404,12.13922998,8.626732645,10.10076264
Belize,BLZ,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,1.763026844,1.356964588,0.937659292,2.13617101,5.61061427,5.773933778,3.122443711,1.679358121,0.215932233,7.369642397,5.063903656,-1.235235149,14.67627088,21.71062296,16.87729136,1.157484454,2.242495449,7.349181985,3.585434213,14.94878367,-2.044402418,-6.979994383,7.740755182,9.439079915,-1.805036508,4.202361223,9.581537065,3.726335541,2.045386014,0.172866167,-3.180174033,4.056029546,1.651574866,3.595984086,6.052271144,1.965864174,-1.478276,1.483260291,-2.255251231,0.475942608,-0.306341287,1.731255361,-2.765720771,2.008197507,2.871068519,4.744442882,4.504303148,2.687312147,-2.729709739,1.496221541,4.072802525,1.791404475,2.379297174,1.470381922,0.610869785,3.959807555,2.0193103,0.173250501,1.686628767,3.490889141
Bermuda,BMU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,0.939036516,0.976544538,1.270801433,0.461053037,1.461122997,2.608611012,3.480335622,8.98161461,6.281063123,6.269519406,9.546211565,9.525770761,12.81220965,14.98394773,6.357027204,2.783649201,9.269101095,4.918710256,6.415363402,9.854087069,17.7093913,12.20859197,10.99738108,10.29655249,7.61408817,5.835136713,6.48815418,4.893013972,5.636713147,6.03357231,6.430591168,2.813881101,5.196304589,1.959567968,4.178463515,29.36469761,4.023903102,2.741551106,2.712151203,-4.236356147,-1.369195741,8.580442291,2.824739521,4.692142598,6.762374738,19.57916181,6.574894832,5.108914102,1.04358317,2.236222003,-1.151255981,6.698203692,1.657273194,3.011890877,2.95202007,4.373203842,-0.094833736,1.587942931,3.12171387,
Bolivia,BOL,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,6.548173318,3.561471057,0.824214662,8.385943052,5.891025175,3.315876428,6.232458617,4.588484241,3.719008264,3.960561147,2.538632267,18.9777488,42.94450909,61.54596046,6.695277658,8.598920875,12.54061843,14.1038108,19.79717364,24.75761946,29.37315142,158.8047604,265.6166468,1443.463603,12338.62232,230.0183927,13.97289991,18.18473175,13.18642794,16.26793991,17.68943693,13.19920758,6.557159358,7.952203941,11.42728592,11.58020594,5.705042541,7.051130173,2.411561422,5.19540791,1.870092796,2.820758433,6.329991141,7.967709974,5.940795568,13.66367938,7.373355353,10.38118272,-2.419895917,8.777508989,14.60235424,7.100275501,5.995388369,2.049497726,-4.620602258,-1.354870581,6.061399962,3.056265753,-0.693003272,-2.671644073
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,,31.30252876,78.83075816,69.76638753,93.83467916,51.38486797,39.40589052,29.24483624,26.67067893,20.91402268,17.0922848,20.25389293,19.14440795,22.66485302,34.80018569,33.86227732,47.62698515,46.17956528,41.05980031,56.4805742,87.30687533,107.2140338,104.8323636,140.1956279,212.7857817,231.7234991,145.2715422,204.103425,651.1138557,1209.121328,2700.44214,414.2362617,968.1842555,2001.347726,2302.840778,89.49744027,18.4577835,7.729023413,4.924361583,8.010500882,5.606065146,8.225094319,9.798112239,14.09102152,7.752060761,7.431225467,6.774274099,6.439038091,8.778552726,7.313482736,8.423338328,8.318565045,7.94317879,7.504539865,7.846709744,7.566175012,8.103604359,3.671384512,4.493534332,4.280505119,4.805398417
